order_id,customer_id,menu_id,menu_name,category,quantity,unit_price,amount,order_date,order_time,day_of_week
O000001,C0169,M009,ข้าวซอย,อาหารหลัก,1,70.05,70.05,2025-06-13,21:28,Friday
O000002,C0312,M016,ไก่ทอดหาดใหญ่,อาหารหลัก,1,72.24,72.24,2025-04-01,20:06,Tuesday
O000003,C0369,M001,ผัดไทย,อาหารหลัก,1,107.06,107.06,2025-04-12,18:50,Saturday
O000003,C0369,M019,แกงเปอะ,อาหารหลัก,1,52.13,52.13,2025-04-12,18:53,Saturday
O000003,C0369,M003,ต้มยำกุ้ง,อาหารหลัก,1,102.11,102.11,2025-04-12,17:34,Saturday
O000004,C0031,M036,ขนมครก,ของหวาน,1,40.69,40.69,2025-07-25,13:04,Friday
O000005,C0011,M024,น้ำมะนาว,เครื่องดื่ม,1,21.08,21.08,2025-06-04,17:41,Wednesday
O000005,C0011,M032,น้ำอัดลม,เครื่องดื่ม,2,23.27,46.54,2025-06-04,17:19,Wednesday
O000006,C0175,M001,ผัดไทย,อาหารหลัก,1,107.06,107.06,2025-06-22,18:05,Sunday
O000006,C0175,M006,ลาบหมู,อาหารหลัก,1,52.65,52.65,2025-06-22,21:39,Sunday
O000007,C0479,M013,ยำวุ้นเส้น,อาหารหลัก,2,43.19,86.38,2025-05-01,14:14,Thursday
O000008,C0240,M011,ปลากะพงนึ่งมะนาว,อาหารหลัก,1,40.06,40.06,2025-06-02,13:43,Monday
O000008,C0240,M027,น้ำเปล่า,เครื่องดื่ม,1,23.37,23.37,2025-06-02,11:49,Monday
O000008,C0240,M032,น้ำอัดลม,เครื่องดื่ม,1,23.27,23.27,2025-06-02,11:19,Monday
O000009,C0454,M029,กาแฟร้อน,เครื่องดื่ม,1,21.37,21.37,2025-06-16,13:01,Monday
O000009,C0454,M044,คุกกี้,ของหวาน,2,52.67,105.34,2025-06-16,11:11,Monday
O000010,C0498,M016,ไก่ทอดหาดใหญ่,อาหารหลัก,1,72.24,72.24,2025-06-18,07:30,Wednesday
O000010,C0498,M031,น้ำแข็งใส,เครื่องดื่ม,1,38.23,38.23,2025-06-18,09:40,Wednesday
O000011,C0391,M038,ข้าวเหนียวมะม่วง,ของหวาน,1,27.56,27.56,2025-03-17,17:28,Monday
O000012,C0233,M018,ผัดซีอิ๊ว,อาหารหลัก,1,64.8,64.8,2025-07-18,09:31,Friday
O000013,C0266,M009,ข้าวซอย,อาหารหลัก,1,70.05,70.05,2025-07-13,21:04,Sunday
O000013,C0266,M028,ชาร้อน,เครื่องดื่ม,2,21.06,42.12,2025-07-13,20:51,Sunday
O000013,C0266,M029,กาแฟร้อน,เครื่องดื่ม,1,21.37,21.37,2025-07-13,21:39,Sunday
O000014,C0170,M039,ลูกชุบ,ของหวาน,1,34.8,34.8,2025-05-03,11:47,Saturday
O000014,C0170,M022,กาแฟเย็น,เครื่องดื่ม,1,24.59,24.59,2025-05-03,12:29,Saturday
O000015,C0067,M025,โค้ก,เครื่องดื่ม,2,27.11,54.22,2025-07-05,17:10,Saturday
O000015,C0067,M032,น้ำอัดลม,เครื่องดื่ม,2,23.27,46.54,2025-07-05,17:57,Saturday
O000015,C0067,M038,ข้าวเหนียวมะม่วง,ของหวาน,1,27.56,27.56,2025-07-05,16:43,Saturday
O000016,C0292,M043,เค้ก,ของหวาน,1,30.26,30.26,2025-02-28,18:14,Friday
O000016,C0292,M019,แกงเปอะ,อาหารหลัก,2,52.13,104.26,2025-02-28,20:39,Friday
O000016,C0292,M012,แกงมัสมั่นเนื้อ,อาหารหลัก,1,106.97,106.97,2025-02-28,21:34,Friday
O000017,C0310,M037,ทับทิมกรอบ,ของหวาน,2,39.99,79.98,2025-06-23,14:51,Monday
O000017,C0310,M011,ปลากะพงนึ่งมะนาว,อาหารหลัก,1,40.06,40.06,2025-06-23,11:30,Monday
O000017,C0310,M025,โค้ก,เครื่องดื่ม,1,27.11,27.11,2025-06-23,12:59,Monday
O000017,C0310,M043,เค้ก,ของหวาน,1,30.26,30.26,2025-06-23,12:23,Monday
O000018,C0334,M022,กาแฟเย็น,เครื่องดื่ม,1,24.59,24.59,2025-07-02,20:27,Wednesday
O000018,C0334,M015,ข้าวคลุกกะปิ,อาหารหลัก,2,66.74,133.48,2025-07-02,20:50,Wednesday
O000018,C0334,M028,ชาร้อน,เครื่องดื่ม,2,21.06,42.12,2025-07-02,19:48,Wednesday
O000019,C0287,M013,ยำวุ้นเส้น,อาหารหลัก,1,43.19,43.19,2025-02-16,14:38,Sunday
O000020,C0017,M026,สไปรท์,เครื่องดื่ม,2,22.02,44.04,2025-04-30,07:42,Wednesday
O000021,C0068,M017,หอยทอด,อาหารหลัก,1,105.73,105.73,2025-03-29,15:57,Saturday
O000022,C0320,M044,คุกกี้,ของหวาน,1,52.67,52.67,2025-03-12,23:09,Wednesday
O000023,C0471,M027,น้ำเปล่า,เครื่องดื่ม,1,23.37,23.37,2025-07-25,16:34,Friday
O000023,C0471,M044,คุกกี้,ของหวาน,1,52.67,52.67,2025-07-25,16:52,Friday
O000024,C0409,M046,ผลไม้,ของหวาน,1,33.31,33.31,2025-02-28,15:20,Friday
O000024,C0409,M017,หอยทอด,อาหารหลัก,1,105.73,105.73,2025-02-28,15:34,Friday
O000025,C0001,M036,ขนมครก,ของหวาน,1,40.69,40.69,2025-06-12,19:24,Thursday
O000025,C0001,M039,ลูกชุบ,ของหวาน,2,34.8,69.6,2025-06-12,19:28,Thursday
O000026,C0249,M015,ข้าวคลุกกะปิ,อาหารหลัก,1,66.74,66.74,2025-06-08,14:31,Sunday
O000026,C0249,M016,ไก่ทอดหาดใหญ่,อาหารหลัก,1,72.24,72.24,2025-06-08,13:12,Sunday
O000026,C0249,M019,แกงเปอะ,อาหารหลัก,1,52.13,52.13,2025-06-08,14:09,Sunday
O000027,C0063,M017,หอยทอด,อาหารหลัก,1,105.73,105.73,2025-02-08,18:09,Saturday
O000027,C0063,M029,กาแฟร้อน,เครื่องดื่ม,1,21.37,21.37,2025-02-08,21:58,Saturday
O000027,C0063,M009,ข้าวซอย,อาหารหลัก,1,70.05,70.05,2025-02-08,18:23,Saturday
O000028,C0237,M035,นมเย็น,เครื่องดื่ม,1,19.98,19.98,2025-04-28,20:38,Monday
O000028,C0237,M022,กาแฟเย็น,เครื่องดื่ม,2,24.59,49.18,2025-04-28,19:25,Monday
O000029,C0011,M028,ชาร้อน,เครื่องดื่ม,1,21.06,21.06,2025-03-13,18:03,Thursday
