customer_id,age,gender,avg_budget,preferred_time
C0001,56,M,205.98,morning
C0002,25,F,351.54,lunch
C0003,38,M,276.58,dinner
C0004,28,M,276.59,dinner
C0005,28,M,327.9,morning
C0006,41,M,330.84,lunch
C0007,20,M,126.53,dinner
C0008,38,F,354.26,lunch
C0009,50,F,269.36,dinner
C0010,61,M,96.94,dinner
C0011,42,M,315.32,dinner
C0012,59,F,128.09,lunch
C0013,45,M,267.77,late_night
C0014,61,F,188.56,lunch
C0015,20,F,170.85,morning
C0016,26,F,383.25,dinner
C0017,56,M,87.86,dinner
C0018,43,M,339.55,late_night
C0019,19,F,119.91,morning
C0020,24,F,242.61,dinner
C0021,61,F,207.31,dinner
C0022,31,M,299.45,morning
C0023,34,M,382.25,dinner
C0024,19,M,88.96,dinner
C0025,23,M,166.15,lunch
C0026,46,F,138.53,dinner
C0027,35,F,321.86,lunch
C0028,32,F,388.18,lunch
C0029,25,F,378.55,dinner
C0030,57,M,462.48,dinner
C0031,38,M,152.15,afternoon
C0032,41,M,192.41,lunch
C0033,43,F,257.71,lunch
C0034,62,M,283.53,dinner
C0035,58,M,182.53,lunch
C0036,42,M,208.93,dinner
C0037,24,F,56.22,lunch
C0038,25,M,163.32,late_night
C0039,41,F,324.45,lunch
C0040,22,F,183.89,lunch
C0041,59,F,182.86,lunch
C0042,24,M,134.54,lunch
C0043,26,F,149.18,dinner
C0044,40,F,337.97,dinner
C0045,41,F,326.0,lunch
C0046,39,M,472.65,afternoon
C0047,44,M,86.45,dinner
C0048,64,M,335.56,lunch
C0049,31,M,346.78,dinner
C0050,31,F,373.61,dinner
C0051,56,F,237.96,lunch
C0052,49,F,172.76,afternoon
C0053,56,M,460.68,dinner
C0054,21,M,98.75,dinner
C0055,47,F,273.81,dinner
C0056,32,F,197.19,lunch
C0057,60,F,379.83,lunch
C0058,45,M,315.9,late_night
C0059,19,F,76.65,late_night
C0060,23,M,194.63,afternoon
C0061,45,M,207.62,dinner
C0062,47,F,291.06,dinner
C0063,28,M,222.6,lunch
C0064,42,M,221.22,afternoon
C0065,56,M,229.35,dinner
C0066,44,F,286.88,morning
C0067,30,F,50.0,dinner
C0068,54,F,277.64,lunch
C0069,50,M,222.58,dinner
C0070,32,M,219.77,morning
C0071,49,F,400.89,dinner
C0072,29,M,317.46,lunch
C0073,56,F,96.5,late_night
C0074,34,M,297.35,lunch
C0075,19,F,117.04,late_night
C0076,54,M,250.31,dinner
C0077,49,F,234.61,late_night
C0078,19,F,165.08,afternoon
C0079,61,F,407.2,lunch
C0080,21,M,53.0,morning
C0081,28,M,167.81,dinner
C0082,55,M,196.54,dinner
C0083,41,M,278.49,morning
C0084,39,M,297.81,lunch
C0085,28,M,351.24,dinner
C0086,26,M,354.35,afternoon
C0087,23,F,189.48,dinner
C0088,53,M,284.52,afternoon
C0089,36,F,388.75,lunch
C0090,37,F,360.55,dinner
C0091,49,M,284.24,morning
C0092,57,F,52.42,lunch
C0093,18,F,208.46,afternoon
C0094,40,M,319.87,dinner
C0095,48,M,221.46,morning
C0096,33,F,355.61,dinner
C0097,43,M,251.04,lunch
C0098,19,M,168.89,afternoon
C0099,18,M,162.99,afternoon
C0100,26,F,378.18,afternoon
C0101,58,M,353.95,afternoon
C0102,20,M,106.64,morning
C0103,37,M,325.05,late_night
C0104,41,M,277.72,lunch
C0105,28,F,385.4,afternoon
C0106,42,F,393.09,late_night
C0107,52,M,238.56,lunch
C0108,52,F,95.23,lunch
