order_id,customer_id,menu_id,menu_name,category,quantity,unit_price,amount,order_date,order_time,day_of_week
O000001,C0338,M005,ส้มตำ,อาหารหลัก,1,34.2,34.2,2025-05-25,11:43,Sunday
O000001,C0338,M031,น้ำแข็งใส,เครื่องดื่ม,1,15.0,15.0,2025-05-25,13:03,Sunday
O000001,C0338,M046,ผลไม้,ของหวาน,2,34.35,68.7,2025-05-25,13:12,Sunday
O000001,C0338,M002,ข้าวผัด,อาหารหลัก,1,83.59,83.59,2025-05-25,14:05,Sunday
O000002,C0037,M031,น้ำแข็งใส,เครื่องดื่ม,1,15.0,15.0,2025-07-20,11:50,Sunday
O000003,C0093,M033,เบียร์,เครื่องดื่ม,1,23.34,23.34,2025-04-27,15:04,Sunday
O000004,C0213,M021,ชาเย็น,เครื่องดื่ม,1,32.13,32.13,2025-06-22,12:21,Sunday
O000005,C0312,M027,น้ำเปล่า,เครื่องดื่ม,1,15.0,15.0,2025-03-10,13:54,Monday
O000005,C0312,M024,น้ำมะนาว,เครื่องดื่ม,1,18.17,18.17,2025-03-10,12:34,Monday
O000005,C0312,M035,นมเย็น,เครื่องดื่ม,1,48.1,48.1,2025-03-10,12:07,Monday
O000006,C0026,M010,หมี่กรอบ,อาหารหลัก,1,73.6,73.6,2025-07-20,17:22,Sunday
O000006,C0026,M042,ไอติม,ของหวาน,1,37.48,37.48,2025-07-20,21:20,Sunday
O000006,C0026,M014,ก๋วยเตี๋ยวต้มยำ,อาหารหลัก,1,95.03,95.03,2025-07-20,18:16,Sunday
O000007,C0388,M031,น้ำแข็งใส,เครื่องดื่ม,2,15.0,30.0,2025-02-14,21:07,Friday
O000008,C0243,M036,ขนมครก,ของหวาน,1,30.04,30.04,2025-02-17,14:28,Monday
O000008,C0243,M006,ลาบหมู,อาหารหลัก,1,78.26,78.26,2025-02-17,14:46,Monday
O000009,C0435,M027,น้ำเปล่า,เครื่องดื่ม,2,15.0,30.0,2025-07-19,14:03,Saturday
O000009,C0435,M007,ผัดกะเพรา,อาหารหลัก,2,104.55,209.1,2025-07-19,17:27,Saturday
O000010,C0436,M034,น้ำแดง,เครื่องดื่ม,2,16.74,33.48,2025-07-26,14:57,Saturday
O000011,C0412,M045,บราวนี่,ของหวาน,1,45.15,45.15,2025-02-21,17:08,Friday
O000012,C0224,M014,ก๋วยเตี๋ยวต้มยำ,อาหารหลัก,1,95.03,95.03,2025-04-12,20:38,Saturday
O000012,C0224,M045,บราวนี่,ของหวาน,1,45.15,45.15,2025-04-12,20:32,Saturday
O000013,C0065,M023,น้ำส้ม,เครื่องดื่ม,1,37.23,37.23,2025-07-05,21:46,Saturday
O000013,C0065,M042,ไอติม,ของหวาน,1,37.48,37.48,2025-07-05,20:28,Saturday
O000014,C0319,M021,ชาเย็น,เครื่องดื่ม,2,32.13,64.26,2025-03-31,20:26,Monday
O000014,C0319,M005,ส้มตำ,อาหารหลัก,1,34.2,34.2,2025-03-31,19:27,Monday
O000015,C0117,M015,ข้าวคลุกกะปิ,อาหารหลัก,1,48.73,48.73,2025-04-22,18:43,Tuesday
O000015,C0117,M025,โค้ก,เครื่องดื่ม,2,34.2,68.4,2025-04-22,17:05,Tuesday
O000016,C0476,M046,ผลไม้,ของหวาน,1,34.35,34.35,2025-02-22,19:51,Saturday
O000017,C0181,M016,ไก่ทอดหาดใหญ่,อาหารหลัก,1,118.34,118.34,2025-03-06,07:26,Thursday
O000017,C0181,M036,ขนมครก,ของหวาน,1,30.04,30.04,2025-03-06,10:55,Thursday
O000018,C0452,M027,น้ำเปล่า,เครื่องดื่ม,1,15.0,15.0,2025-02-14,19:06,Friday
O000018,C0452,M020,ข้าวกะเพรา,อาหารหลัก,1,88.49,88.49,2025-02-14,18:42,Friday
O000018,C0452,M021,ชาเย็น,เครื่องดื่ม,2,32.13,64.26,2025-02-14,18:54,Friday
O000018,C0452,M011,ปลากะพงนึ่งมะนาว,อาหารหลัก,1,113.87,113.87,2025-02-14,19:54,Friday
O000019,C0377,M024,น้ำมะนาว,เครื่องดื่ม,1,18.17,18.17,2025-06-23,12:51,Monday
O000020,C0438,M005,ส้มตำ,อาหารหลัก,1,34.2,34.2,2025-05-21,21:59,Wednesday
O000020,C0438,M012,แกงมัสมั่นเนื้อ,อาหารหลัก,1,77.59,77.59,2025-05-21,17:11,Wednesday
O000020,C0438,M039,ลูกชุบ,ของหวาน,1,32.24,32.24,2025-05-21,19:58,Wednesday
O000021,C0382,M041,บัวลอย,ของหวาน,1,32.56,32.56,2025-04-28,15:36,Monday
O000022,C0151,M046,ผลไม้,ของหวาน,1,34.35,34.35,2025-07-19,17:05,Saturday
O000022,C0151,M006,ลาบหมู,อาหารหลัก,1,78.26,78.26,2025-07-19,20:26,Saturday
O000023,C0036,M030,น้ำผลไม้รวม,เครื่องดื่ม,1,16.95,16.95,2025-05-28,19:46,Wednesday
O000024,C0423,M034,น้ำแดง,เครื่องดื่ม,1,16.74,16.74,2025-04-25,17:09,Friday
O000024,C0423,M026,สไปรท์,เครื่องดื่ม,1,28.14,28.14,2025-04-25,21:03,Friday
O000024,C0423,M043,เค้ก,ของหวาน,1,34.4,34.4,2025-04-25,19:28,Friday
O000025,C0291,M026,สไปรท์,เครื่องดื่ม,2,28.14,56.28,2025-07-20,20:17,Sunday
O000025,C0291,M031,น้ำแข็งใส,เครื่องดื่ม,1,15.0,15.0,2025-07-20,21:07,Sunday
O000026,C0350,M015,ข้าวคลุกกะปิ,อาหารหลัก,1,48.73,48.73,2025-04-30,23:43,Wednesday
