customer_id,menu_id,rating,age,avg_budget,gender_encoded,preferred_time_encoded,price,popularity,category_encoded
C0166,M008,1,29,484.37,0,1,84.02,4.2,1
C0436,M041,1,45,244.43,1,0,32.56,4.9,0
C0136,M042,1,56,334.3,1,1,37.48,4.7,0
C0388,M032,0,53,358.45,1,1,15.0,3.0,2
C0146,M024,1,39,254.5,1,4,18.17,3.7,2
C0114,M031,1,39,314.7,1,4,15.0,4.2,2
C0065,M007,1,56,229.35,1,1,104.55,2.6,1
C0204,M025,1,29,385.4,0,0,34.2,5.0,2
C0438,M022,1,18,213.58,1,1,25.47,5.0,2
C0059,M024,1,19,76.65,0,2,18.17,3.7,2
C0434,M021,1,63,187.77,1,3,32.13,4.5,2
C0242,M040,1,25,219.17,0,1,31.02,4.4,0
C0320,M045,1,58,234.77,1,3,45.15,3.1,0
C0300,M015,1,52,200.37,0,1,48.73,4.3,1
C0051,M038,1,56,237.96,0,3,64.32,3.1,0
C0369,M045,1,34,276.08,0,2,45.15,3.1,0
C0469,M013,1,35,434.67,0,0,37.85,2.8,1
C0007,M043,0,20,126.53,1,1,34.4,4.4,0
C0468,M002,1,23,207.57,1,3,83.59,4.5,1
C0461,M041,1,63,143.26,1,1,32.56,4.9,0
C0327,M006,1,47,202.61,1,3,78.26,4.9,1
C0460,M011,1,47,270.6,0,3,113.87,4.6,1
C0352,M045,1,52,201.65,1,1,45.15,3.1,0
C0181,M022,0,50,420.64,0,4,25.47,5.0,2
C0327,M022,1,47,202.61,1,3,25.47,5.0,2
C0008,M004,1,38,354.26,0,3,111.87,3.1,1
C0396,M003,1,57,214.81,0,2,118.59,4.6,1
C0305,M044,1,62,282.02,1,4,22.4,4.2,0
C0281,M039,1,34,298.53,1,0,32.24,3.0,0
C0452,M027,1,18,197.91,0,1,15.0,4.3,2
C0192,M015,1,38,358.13,0,3,48.73,4.3,1
C0121,M008,1,21,152.1,1,1,84.02,4.2,1
C0116,M021,1,25,305.93,1,4,32.13,4.5,2
C0292,M045,1,59,333.63,1,3,45.15,3.1,0
C0393,M044,1,25,132.05,1,0,22.4,4.2,0
C0434,M034,1,63,187.77,1,3,16.74,4.9,2
C0344,M021,1,54,313.82,1,3,32.13,4.5,2
C0252,M009,1,47,396.52,0,3,93.4,4.9,1
C0028,M027,1,32,388.18,0,3,15.0,4.3,2
C0042,M037,1,24,134.54,1,3,57.51,3.8,0
C0452,M033,1,18,197.91,0,1,23.34,4.7,2
C0200,M019,0,42,214.84,0,0,106.03,4.0,1
C0173,M026,1,22,133.78,1,3,28.14,4.4,2
C0473,M044,1,29,325.6,0,1,22.4,4.2,0
C0078,M002,1,19,165.08,0,0,83.59,4.5,1
C0453,M029,1,64,130.11,0,2,22.0,3.2,2
C0291,M044,1,36,249.68,1,1,22.4,4.2,0
C0121,M036,1,21,152.1,1,1,30.04,5.0,0
C0219,M009,0,44,212.32,1,0,93.4,4.9,1
C0342,M045,0,64,253.85,0,1,45.15,3.1,0
C0203,M035,1,30,276.08,1,1,48.1,2.9,2
C0220,M003,0,54,268.56,0,1,118.59,4.6,1
